sent_id, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
54, -75.53839111328125, -3.433563232421875, -22.677632837374134, -1, -1, -1, -1
55, -95.72743248939514, -2.454549551010132, -19.444432387430528, -1, -1, -1, -1
56, -34.41833448410034, -4.916904926300049, -19.768142101811893, -1, -1, -1, -1
57, -75.4572331905365, -3.01828932762146, -20.822116560955774, -1, -1, -1, -1
58, -37.12908339500427, -3.375371217727661, -16.941007788524796, -1, -1, -1, -1
59, -38.12513780593872, -4.23612642288208, -19.356640931558577, -1, -1, -1, -1
60, -166.65831470489502, -5.0502519607543945, -38.06458583872229, -1, -1, -1, -1
61, -76.03727602958679, -3.3059685230255127, -22.172829909089796, -1, -1, -1, -1
62, -35.582133293151855, -3.9535703659057617, -18.065523624864387, -1, -1, -1, -1
63, -76.41138553619385, -3.3222341537475586, -22.281922013522152, -1, -1, -1, -1
64, -50.87219572067261, -3.633728265762329, -20.230126683561682, -1, -1, -1, -1
65, -72.67303490638733, -3.8248965740203857, -23.97316111471319, -1, -1, -1, -1
66, -36.38713836669922, -4.548392295837402, -19.602624494283642, -1, -1, -1, -1
67, -23.89038848876953, -3.981731414794922, -14.710589078159813, -1, -1, -1, -1
68, -33.805978775024414, -3.073270797729492, -15.424764022142556, -1, -1, -1, -1
69, -46.52477979660034, -6.646397113800049, -26.72146900947705, -1, -1, -1, -1
70, -25.03128218650818, -3.575897455215454, -14.376696335554266, -1, -1, -1, -1
71, -18.811294555664062, -4.702823638916016, -13.600211950201754, -1, -1, -1, -1
72, -49.96315383911133, -3.122697114944458, -18.33983437082093, -1, -1, -1, -1
73, -80.45586395263672, -5.028491497039795, -29.532707719055086, -1, -1, -1, -1
74, -117.03827285766602, -4.179938316345215, -29.92524761582587, -1, -1, -1, -1
75, -106.82515525817871, -3.8151841163635254, -27.31387899570027, -1, -1, -1, -1
76, -37.69736289978027, -3.7697362899780273, -18.111689470236474, -1, -1, -1, -1
77, -77.52373933792114, -7.04761266708374, -35.37200899756112, -1, -1, -1, -1
78, -73.77421569824219, -4.610888481140137, -27.080093884782766, -1, -1, -1, -1
79, -49.32184600830078, -3.082615375518799, -18.104431308883537, -1, -1, -1, -1
80, -46.61069583892822, -3.8842246532440186, -20.260373609035362, -1, -1, -1, -1
81, -22.46019744873047, -3.743366241455078, -13.829944014427562, -1, -1, -1, -1
82, -134.10446119308472, -3.1929633617401123, -25.839609108185247, -1, -1, -1, -1
83, -20.25987458229065, -2.8942677974700928, -11.636242302561756, -1, -1, -1, -1
84, -39.616127014160156, -4.9520158767700195, -21.34215815352873, -1, -1, -1, -1
85, -58.333306550979614, -3.431370973587036, -20.630010557237398, -1, -1, -1, -1
86, -39.76619052886963, -4.418465614318848, -20.18982528538882, -1, -1, -1, -1
87, -60.26040458679199, -4.304314613342285, -23.963495216269887, -1, -1, -1, -1
88, -92.45670890808105, -3.852362871170044, -26.214467015956053, -1, -1, -1, -1
89, -65.48704147338867, -6.548704147338867, -31.463234249136992, -1, -1, -1, -1
90, -145.83298301696777, -4.0509161949157715, -31.343657592934385, -1, -1, -1, -1
91, -92.89937496185303, -6.193291664123535, -35.45763750711115, -1, -1, -1, -1
92, -66.88825607299805, -5.574021339416504, -29.074465285368078, -1, -1, -1, -1
93, -55.4802942276001, -2.774014711380005, -17.713637342198005, -1, -1, -1, -1
94, -28.638479232788086, -4.091211318969727, -16.448486992160213, -1, -1, -1, -1
95, -86.51543855667114, -2.883847951889038, -21.103776481375405, -1, -1, -1, -1
96, -123.17656707763672, -3.8492677211761475, -28.740063093938097, -1, -1, -1, -1
97, -67.38302993774414, -3.743501663208008, -22.997957497195422, -1, -1, -1, -1
98, -34.48674917221069, -6.897349834442139, -22.917817602711832, -1, -1, -1, -1
99, -22.631786346435547, -3.233112335205078, -12.998547873397435, -1, -1, -1, -1
