sent_id, lp, mean_lp, pen_lp, div_lp, sub_lp, slor, pen_slor
109, -60.497679710388184, -4.321262836456299, -24.057851391410527, -1, -1, -1, -1
110, -23.546363353729248, -3.924393892288208, -14.498754415173272, -1, -1, -1, -1
111, -19.460972785949707, -2.7801389694213867, -11.177393712931247, -1, -1, -1, -1
112, -31.354948043823242, -3.9193685054779053, -16.89166282730675, -1, -1, -1, -1
113, -66.59195852279663, -3.6995532512664795, -22.727963304369457, -1, -1, -1, -1
114, -33.97568702697754, -3.397568702697754, -16.32361113976346, -1, -1, -1, -1
115, -69.28114557266235, -3.012223720550537, -20.20271026136968, -1, -1, -1, -1
116, -28.100522994995117, -4.014360427856445, -16.139512269453622, -1, -1, -1, -1
117, -73.01655507087708, -2.7043168544769287, -19.13473080105276, -1, -1, -1, -1
118, -35.225303411483765, -3.2023003101348877, -16.07236389593686, -1, -1, -1, -1
119, -25.97804069519043, -3.2472550868988037, -13.994993827574014, -1, -1, -1, -1
120, -50.28091049194336, -4.190075874328613, -21.855713879268766, -1, -1, -1, -1
121, -55.95623016357422, -2.797811508178711, -17.86559321563624, -1, -1, -1, -1
122, -80.97655296325684, -4.048827648162842, -25.854031821245226, -1, -1, -1, -1
123, -40.5676646232605, -4.507518291473389, -20.596744372213827, -1, -1, -1, -1
124, -67.11439490318298, -2.6845757961273193, -18.519944271788585, -1, -1, -1, -1
125, -19.191877841949463, -3.8383755683898926, -12.75376677688551, -1, -1, -1, -1
126, -49.94861626625061, -2.6288745403289795, -16.476898573869335, -1, -1, -1, -1
127, -66.40797519683838, -4.74342679977417, -26.40817310908671, -1, -1, -1, -1
128, -28.956396102905273, -3.619549512863159, -15.599505346990023, -1, -1, -1, -1
129, -61.6190185546875, -3.42327880859375, -21.03068934491196, -1, -1, -1, -1
130, -52.98203182220459, -4.8165483474731445, -24.174284191260284, -1, -1, -1, -1
131, -59.85185623168945, -4.987654685974121, -26.01593790057829, -1, -1, -1, -1
132, -120.03092622756958, -3.5303213596343994, -26.851124116642872, -1, -1, -1, -1
133, -78.06108856201172, -4.878818035125732, -28.653664251126525, -1, -1, -1, -1
134, -26.27194309234619, -3.7531347274780273, -15.089268906376894, -1, -1, -1, -1
135, -39.060718059539795, -3.5509743690490723, -17.822361027125986, -1, -1, -1, -1
136, -47.76146364212036, -3.4115331172943115, -18.99309527305863, -1, -1, -1, -1
137, -54.472795486450195, -4.53939962387085, -23.67780974345208, -1, -1, -1, -1
138, -54.802961349487305, -4.215612411499023, -22.756581511869896, -1, -1, -1, -1
139, -54.17763948440552, -3.009868860244751, -18.49093238033231, -1, -1, -1, -1
140, -93.4158992767334, -4.67079496383667, -29.825641424954117, -1, -1, -1, -1
141, -23.87037944793701, -3.4100542068481445, -13.70993280250014, -1, -1, -1, -1
142, -48.02311420440674, -4.802311420440674, -23.07269434671747, -1, -1, -1, -1
143, -123.88164138793945, -5.1617350578308105, -35.124451653100024, -1, -1, -1, -1
144, -46.441680908203125, -5.160186767578125, -23.57906078068202, -1, -1, -1, -1
145, -38.16067886352539, -3.180056571960449, -16.58738615748632, -1, -1, -1, -1
146, -54.226367712020874, -2.357668161392212, -15.812665716727563, -1, -1, -1, -1
147, -174.87353515625, -5.4647979736328125, -40.80221224774739, -1, -1, -1, -1
148, -137.70848560333252, -4.0502495765686035, -30.80562447580873, -1, -1, -1, -1
149, -38.442471981048584, -5.491781711578369, -22.07940216332506, -1, -1, -1, -1
150, -102.46094703674316, -5.123047351837158, -32.713526177446425, -1, -1, -1, -1
151, -27.195713996887207, -4.532618999481201, -16.745854655458228, -1, -1, -1, -1
152, -31.373620986938477, -3.9217026233673096, -16.901722389792873, -1, -1, -1, -1
153, -38.479004859924316, -2.748500347137451, -15.301779920172129, -1, -1, -1, -1
154, -43.98331642150879, -4.398331642150879, -21.131774416564372, -1, -1, -1, -1
155, -104.34391522407532, -3.8645894527435303, -27.344384114019928, -1, -1, -1, -1
156, -96.44942283630371, -4.384064674377441, -28.955403553383064, -1, -1, -1, -1
157, -26.574037313461304, -2.9526708126068115, -13.49199315676663, -1, -1, -1, -1
158, -58.09492778778076, -4.149637699127197, -23.102359396325145, -1, -1, -1, -1
159, -101.9080262184143, -4.430783748626709, -29.71686322419989, -1, -1, -1, -1
160, -22.81412363052368, -4.562824726104736, -15.16089329032411, -1, -1, -1, -1
161, -78.15597939491272, -3.7217133045196533, -24.18268571269859, -1, -1, -1, -1
162, -22.90177583694458, -4.580355167388916, -15.219141670570052, -1, -1, -1, -1
163, -23.276221752166748, -4.65524435043335, -15.467975886410176, -1, -1, -1, -1
164, -30.500788688659668, -3.050078868865967, -14.654097019861434, -1, -1, -1, -1
165, -29.062788009643555, -4.151826858520508, -16.69218838915255, -1, -1, -1, -1
166, -30.549150466918945, -5.091525077819824, -18.810744723425994, -1, -1, -1, -1
167, -54.444435596466064, -6.049381732940674, -27.642166067082403, -1, -1, -1, -1
168, -98.24980545043945, -3.5089216232299805, -25.121267466811723, -1, -1, -1, -1
169, -27.53071689605713, -4.5884528160095215, -16.952133845601892, -1, -1, -1, -1
170, -61.01869297027588, -4.35847806930542, -24.265040487576478, -1, -1, -1, -1
171, -69.11255264282227, -3.8395862579345703, -23.58824691722551, -1, -1, -1, -1
172, -38.24028038978577, -2.9415600299835205, -15.879033473709553, -1, -1, -1, -1
173, -169.68836307525635, -4.848238945007324, -37.19846914698755, -1, -1, -1, -1
174, -33.343326568603516, -4.1679158210754395, -17.962850046839154, -1, -1, -1, -1
175, -76.30125999450684, -3.815062999725342, -24.3613136359879, -1, -1, -1, -1
176, -25.51988983154297, -4.253314971923828, -15.71396014795711, -1, -1, -1, -1
177, -138.056170463562, -4.183520317077637, -31.531885825683222, -1, -1, -1, -1
178, -18.946042776107788, -2.7065775394439697, -10.881644085309237, -1, -1, -1, -1
179, -37.407344341278076, -4.156371593475342, -18.992207616479746, -1, -1, -1, -1
180, -41.54317045211792, -3.7766518592834473, -18.95503766419499, -1, -1, -1, -1
181, -113.71480464935303, -4.2116594314575195, -29.800120985542634, -1, -1, -1, -1
182, -57.09600067138672, -3.56850004196167, -20.958068398192577, -1, -1, -1, -1
183, -127.60736060142517, -3.866889715194702, -29.14538851461859, -1, -1, -1, -1
184, -96.95247602462769, -4.616784572601318, -29.99861654761795, -1, -1, -1, -1
185, -63.501365661621094, -3.9688353538513184, -23.309267711667356, -1, -1, -1, -1
186, -79.2311840057373, -4.401732444763184, -27.04175522976518, -1, -1, -1, -1
187, -57.18000411987305, -3.812000274658203, -21.824343377661187, -1, -1, -1, -1
188, -55.094916343688965, -4.238070487976074, -22.877813968287324, -1, -1, -1, -1
189, -21.455577850341797, -3.065082550048828, -12.322993491099222, -1, -1, -1, -1
190, -32.50362682342529, -5.417271137237549, -20.014220278336268, -1, -1, -1, -1
191, -53.61079216003418, -4.123907089233398, -22.261540830350526, -1, -1, -1, -1
192, -83.37701797485352, -2.779233932495117, -20.338219170816984, -1, -1, -1, -1
193, -46.39711380004883, -2.3198556900024414, -14.813577667904637, -1, -1, -1, -1
194, -43.51727294921875, -5.439659118652344, -23.443799071033276, -1, -1, -1, -1
195, -44.00315260887146, -3.3848578929901123, -18.272029548498146, -1, -1, -1, -1
196, -39.55095100402832, -3.595541000366211, -18.046041209112087, -1, -1, -1, -1
197, -36.850975036621094, -4.606371879577637, -19.852504437452755, -1, -1, -1, -1
198, -31.748840808868408, -4.535548686981201, -18.23492060510494, -1, -1, -1, -1
199, -40.06616973876953, -2.5041356086730957, -14.706976249906418, -1, -1, -1, -1
200, -54.77205276489258, -3.423253297805786, -20.10502337567931, -1, -1, -1, -1
201, -64.42166948318481, -2.928257703781128, -19.34024468590346, -1, -1, -1, -1
202, -30.168936252593994, -6.033787250518799, -20.04845904298578, -1, -1, -1, -1
203, -68.5955319404602, -5.2765793800354, -28.48385881920524, -1, -1, -1, -1
204, -73.14154386520386, -3.4829306602478027, -22.631140720487387, -1, -1, -1, -1
205, -42.89493799209595, -4.766104221343994, -21.778332099959936, -1, -1, -1, -1
206, -112.67717170715332, -4.333737373352051, -30.287789795952115, -1, -1, -1, -1
207, -42.18798279762268, -2.8125321865081787, -16.102220298130067, -1, -1, -1, -1
208, -40.757205963134766, -5.094650745391846, -21.956884761861083, -1, -1, -1, -1
209, -32.5503294467926, -3.6167032718658447, -16.526236377494676, -1, -1, -1, -1
210, -53.135833978652954, -3.1256372928619385, -18.791885472653963, -1, -1, -1, -1
211, -33.8977952003479, -2.4212710857391357, -13.47999003152523, -1, -1, -1, -1
212, -43.44390392303467, -4.344390392303467, -20.872613803799478, -1, -1, -1, -1
213, -38.98181915283203, -3.898181915283203, -18.728806186204753, -1, -1, -1, -1
214, -44.493446350097656, -4.449344635009766, -21.37686622525769, -1, -1, -1, -1
215, -36.127110958099365, -4.014123439788818, -18.34221605361844, -1, -1, -1, -1
216, -24.2885684967041, -2.42885684967041, -11.669437235129175, -1, -1, -1, -1
217, -85.91990375518799, -4.091423988342285, -26.584965668183635, -1, -1, -1, -1
218, -39.983895778656006, -3.634899616241455, -18.24358233128144, -1, -1, -1, -1
219, -39.873762130737305, -7.974752426147461, -26.497702148815716, -1, -1, -1, -1
220, -56.32659101486206, -4.332814693450928, -23.389259050094353, -1, -1, -1, -1
221, -38.050758361816406, -6.341793060302734, -23.429885647785227, -1, -1, -1, -1
222, -27.796273231506348, -2.7796273231506348, -13.354713180794509, -1, -1, -1, -1
223, -36.48209738731384, -3.316554307937622, -16.64580537593777, -1, -1, -1, -1
224, -25.67457389831543, -3.2093217372894287, -13.831508982855699, -1, -1, -1, -1
225, -15.317106246948242, -3.0634212493896484, -10.178826813046802, -1, -1, -1, -1
226, -144.8674898147583, -3.915337562561035, -30.541650493741777, -1, -1, -1, -1
227, -76.67971515655518, -4.510571479797363, -27.118355305698408, -1, -1, -1, -1
228, -54.37687110900879, -4.531405925750732, -23.6361140834711, -1, -1, -1, -1
229, -32.38662528991699, -2.9442386627197266, -14.777150985481653, -1, -1, -1, -1
230, -27.70275592803955, -2.308562994003296, -12.041617808958812, -1, -1, -1, -1
231, -101.15511894226074, -3.612682819366455, -25.864120411592317, -1, -1, -1, -1
232, -38.14732360839844, -3.178943634033203, -16.581580999385892, -1, -1, -1, -1
233, -60.52516222000122, -3.36250901222229, -20.657354077614016, -1, -1, -1, -1
234, -55.20014238357544, -4.246164798736572, -22.921508412800588, -1, -1, -1, -1
235, -49.07881021499634, -3.271920680999756, -18.732296773775115, -1, -1, -1, -1
236, -119.77116584777832, -3.4220333099365234, -26.25580173409649, -1, -1, -1, -1
237, -30.352083206176758, -3.7940104007720947, -16.35139547699222, -1, -1, -1, -1
238, -38.65605020523071, -3.514186382293701, -17.637721907471928, -1, -1, -1, -1
239, -55.344059467315674, -5.031278133392334, -25.252014236648957, -1, -1, -1, -1
240, -51.24186038970947, -3.660132884979248, -20.377129638301724, -1, -1, -1, -1
241, -27.780463695526123, -5.556092739105225, -18.461223953397447, -1, -1, -1, -1
242, -84.15607452392578, -5.259754657745361, -30.89093360753933, -1, -1, -1, -1
243, -35.86681890487671, -5.123831272125244, -20.600077937504217, -1, -1, -1, -1
244, -35.21496534347534, -2.3476643562316895, -13.440773702591168, -1, -1, -1, -1
245, -30.503896713256836, -3.8129870891571045, -16.433181055799224, -1, -1, -1, -1
246, -53.22784423828125, -4.4356536865234375, -23.136664048049873, -1, -1, -1, -1
247, -38.09911346435547, -4.762389183044434, -20.52490655572854, -1, -1, -1, -1
248, -47.22428512573242, -3.935357093811035, -20.527083812978983, -1, -1, -1, -1
249, -105.3711633682251, -3.3990697860717773, -25.13047947000347, -1, -1, -1, -1
250, -22.520710945129395, -3.7534518241882324, -13.86720540846583, -1, -1, -1, -1
251, -54.091712951660156, -4.50764274597168, -23.51216376044841, -1, -1, -1, -1
252, -64.02987170219421, -3.049041509628296, -19.811846458664736, -1, -1, -1, -1
253, -103.83213806152344, -6.1077728271484375, -36.72101293482715, -1, -1, -1, -1
254, -30.931303024291992, -5.155217170715332, -19.046056478164743, -1, -1, -1, -1
255, -85.98294258117676, -6.14163875579834, -34.19246597087156, -1, -1, -1, -1
256, -27.19740653038025, -3.8853437900543213, -15.620808070816706, -1, -1, -1, -1
257, -50.526419162750244, -5.614046573638916, -25.652936869868345, -1, -1, -1, -1
258, -26.942072868347168, -4.490345478057861, -16.589674256088532, -1, -1, -1, -1
259, -44.23274230957031, -3.6860618591308594, -19.22674332176816, -1, -1, -1, -1
260, -41.263458251953125, -5.157932281494141, -22.229615016630444, -1, -1, -1, -1
261, -32.20298385620117, -4.0253729820251465, -17.348520066813197, -1, -1, -1, -1
262, -35.02603530883789, -4.378254413604736, -18.86936561933746, -1, -1, -1, -1
263, -30.97007131576538, -4.424295902252197, -17.787634987280278, -1, -1, -1, -1
264, -63.29597854614258, -3.5164432525634766, -21.60303900985895, -1, -1, -1, -1
265, -45.87099266052246, -7.64516544342041, -28.245221878808618, -1, -1, -1, -1
266, -26.084802627563477, -3.2606003284454346, -14.052509042139725, -1, -1, -1, -1
267, -26.975309371948242, -3.3719136714935303, -14.532246391746124, -1, -1, -1, -1
268, -79.04410123825073, -4.160215854644775, -26.07482922095134, -1, -1, -1, -1
